commit,date,words,unique_words,files,message,date_only
bc73c8b4,2025-07-24 17:20:52,526,285,3,First Commit,2025-07-24
b8687c27,2025-07-24 19:23:06,1415,619,6,création des fichiers d'intro des secitons 3 et 4,2025-07-24
2bcb457a,2025-07-24 19:56:33,1498,644,7,Ajoute du titre + rédaction de l'intro du chaptire,2025-07-24
2d5bdf36,2025-07-25 11:52:47,1761,737,8,Ajout des premières définitions,2025-07-25
69fcfae1,2025-07-25 12:13:22,1841,767,8,Réorgianisation en chapitre + ajout des définition,2025-07-25
87c809e0,2025-07-25 12:14:04,1840,766,8,correction mineure,2025-07-25
fb5d197a,2025-07-25 15:13:13,2285,863,11,Ajoute de la partie sur les schémas implcites et e,2025-07-25
cf5e571d,2025-07-25 18:59:33,2337,894,12,Ajoute de la partie sur les équations d'advection-,2025-07-25
8509dabe,2025-07-25 19:01:31,2337,894,12,ajout du readme,2025-07-25
02330ceb,2025-07-28 09:37:24,2598,960,12,Ajout des références sur ROK4,2025-07-28
1cc99673,2025-07-28 09:46:30,2613,963,12,Début de rédaction de la partie sur les opérateurs,2025-07-28
4e03854e,2025-07-28 09:55:15,2725,982,12,réaction 2/2,2025-07-28
ff8cc09b,2025-07-28 10:01:51,2842,1010,12,rédaction du paragraphe sur les difficultés,2025-07-28
e11c39d7,2025-07-28 10:20:17,2988,1051,12,complétion de la partie sur les difficulté en ajou,2025-07-28
88bcfd8c,2025-07-28 10:32:57,3008,1060,12,amélioration rédaction,2025-07-28
e6cee508,2025-07-28 11:06:07,3100,1082,12,"ajout de quelque biblio (Posel, Belotti et al 2025",2025-07-28
7f036117,2025-07-28 11:42:52,2673,976,12,introduction à la multi-res + présentation rapide ,2025-07-28
7df527e9,2025-07-28 11:54:20,2707,982,12,introduciton aux stratégies d'intégration pour les,2025-07-28
f1f39462,2025-07-28 12:20:46,2591,958,12,introduciton au splitting 2/2,2025-07-28
43bce786,2025-07-28 14:47:16,2677,978,12,détail splitting + ajout ref. à Max Duarte,2025-07-28
0d8850bd,2025-07-28 15:50:46,2942,1037,12,Écriture de la partie ImEx + ccl,2025-07-28
8e955a03,2025-07-28 15:58:01,2942,1037,12,ajoute des références CarpenterKenedy et Parescci,2025-07-28
67d363e1,2025-07-28 16:20:28,3081,1063,13,ajout des objecitfs du stage,2025-07-28
5b4d6999,2025-07-28 16:23:43,3090,1065,13,orthographe,2025-07-28
26bd3448,2025-07-28 16:36:28,3074,1065,13,ajoute des mots-clés,2025-07-28
d2296360,2025-07-29 08:24:12,3220,1084,14,préambule contributions,2025-07-29
99ae6d5b,2025-07-29 08:43:22,3306,1095,14,présentation étude Nagumo ImEx,2025-07-29
c1322d22,2025-07-29 10:14:16,3343,1105,19,références Nagumo Spatiale,2025-07-29
3753ac18,2025-07-29 10:16:14,3343,1105,19,correction page référence nagumo,2025-07-29
833d8f83,2025-07-29 10:47:24,3431,1119,19,ajout d'un graphique pour illustrer la raideur de ,2025-07-29
426f1af4,2025-07-29 14:02:16,3387,1117,19,fin nagumo,2025-07-29
0957ed7b,2025-07-29 14:15:04,3389,1119,19,précision sur le role du coeff de réaction (notion,2025-07-29
2e903d9b,2025-07-29 14:25:47,3389,1119,19,corerction du graphique sur le terme de réaction d,2025-07-29
324bf407,2025-07-29 18:23:40,3827,1205,19,des digrammes de stabilité sur Nagumo avec explica,2025-07-29
6a78e0ab,2025-07-29 20:57:41,3827,1205,19,modification du système de numérotation,2025-07-29
e6b89250,2025-07-29 21:03:46,3827,1205,19,index on main: 6a78e0a modification du système de ,2025-07-29
0147fc86,2025-07-29 21:03:46,3827,1205,19,WIP on main: 6a78e0a modification du système de nu,2025-07-29
04b18d60,2025-07-30 06:59:44,3827,1205,19,compteur de mots,2025-07-30
1080f1e8,2025-07-30 07:00:14,3827,1205,19,supression resquirements.txt,2025-07-30
70047800,2025-07-30 07:56:59,4212,1259,19,intro ImEx + exemple ImEX111,2025-07-30
b84b4d64,2025-07-30 08:02:12,4212,1255,19,corrections orthographiques mineures,2025-07-30
18547086,2025-07-30 08:24:25,4261,1265,19,cadre général ImEx 1/X,2025-07-30
01a85e58,2025-07-30 09:13:34,4577,1328,19,méthodes ImEx 2/2 (revoir orthographe),2025-07-30
